Id,Label,timeset,Clustering Coefficient,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,componentnumber,modularity_class
Subroto Park (Arjun Path),,,0,14,0.142354,0.153746,6.722894,1,1,2,0,18
Vasant Village,,,0.333333,13,0.165894,0.184739,3536.194074,3,2,5,0,10
North Point (Nursing Home),,,1,15,0.138331,0.149561,0,1,1,2,0,13
Dwarka Sector 1-7 X-ing,,,0,14,0.14994,0.163582,2024.02791,2,2,4,0,18
Barthal Village,,,0.166667,15,0.128364,0.137127,1927.282447,3,1,4,0,18
Bijwasan Border,,,0,16,0.107496,0.112539,0,1,0,1,0,18
Dwarka Sector 4-5 X-ing,,,0,13,0.164485,0.180882,26300.86211,3,3,6,0,16
Dwarka Sector 11-12 X-ing,,,0,14,0.141284,0.151028,1859,1,1,2,0,16
Dwarka Sector 10 Terminal,,,0,15,0.123802,0.13006,0,1,0,1,0,16
Ashoka Hotel,,,1,15,0.135925,0.146975,0,1,1,2,0,10
Akbar Bhawan,,,0,15,0.130792,0.14104,16.480085,1,1,2,0,10
Railway Museum,,,0,15,0.140229,0.153393,357.139978,1,1,2,0,10
Radisson BLU Hotel,,,0,14,0.135955,0.14475,1512.477711,1,1,2,0,16
Shivani Apartments/ Kunj Vihar Sector-12 Dwarka,,,0,13,0.152847,0.16522,3013.339976,1,1,2,0,16
National Law University Delhi,,,0,14,0.141284,0.151028,1859,1,1,2,0,16
Dwarka Sec 16C/GGS IP University,,,0,15,0.123802,0.13006,0,1,0,1,0,16
Dwarka Sector 17D,,,0,16,0.126522,0.134563,0,1,0,1,0,16
Nawada,,,0.333333,13,0.164514,0.180786,10976.452102,3,2,5,0,16
Shalimar Bagh Richi Rich,,,0,14,0.153086,0.167892,1088.094557,1,2,3,0,3
Prem Bari Pul,,,0,14,0.139315,0.150039,1.75,1,1,2,0,3
Britannia,,,0,14,0.145974,0.157859,100.414891,1,1,2,0,7
Shakar Pur JJ Colony (Samrat Cinema),,,0,14,0.158527,0.173317,870.377074,2,1,3,0,7
Ram Pura (Ashok Park),,,0,15,0.147315,0.160686,152.410405,1,1,2,0,4
Mahavir Enclave Part-III (Dwaraka Sector 2),,,0.2,14,0.150888,0.165021,3058.116933,2,4,6,0,16
Amrahi X-ing (Ram Phal Chowk),,,0,14,0.141757,0.1516,641.490948,1,1,2,0,16
Bagdola,,,0,14,0.147338,0.158539,3428.030721,1,2,3,0,16
Punjabi Bagh,,,0.066667,13,0.17926,0.201872,17885.741367,3,4,7,0,4
Roop Nagar,,,0,16,0.1383,0.150737,255.222841,1,1,2,0,0
Gurudwara Nanak Pyau,,,0,15,0.141069,0.15276,647.660842,1,1,2,0,7
State Bank Colony,,,0,14,0.142311,0.15397,759.933872,1,1,2,0,7
Pittampura BU-Block,,,1,14,0.14459,0.158536,0,1,1,2,0,3
Pittampura RU-Block,,,0,14,0.135747,0.147599,1450.526832,1,1,2,0,3
Sundar Apartments,,,0.666667,15,0.150607,0.162409,69.546486,2,1,3,0,7
DA Block Hari Nagar,,,0,15,0.142551,0.153788,96.066348,1,1,2,0,16
Maya Enclave BSES Office,,,1,15,0.141855,0.154019,0,1,1,2,0,16
BE Block Hari Nagar/ESI Dispensary,,,1,17,0.117729,0.125194,0,2,2,4,0,16
Hari Nagar (Mohan Mandir) Mayapuri,,,1,16,0.130252,0.139611,0,1,1,2,0,16
Maya Puri Crossing Ring Road,,,0,15,0.150461,0.164336,360.099955,1,1,2,0,10
E Block Mangol Puri,,,0,15,0.150218,0.162174,220.483214,1,1,2,0,7
